_golden,_unit_state,birthplace_gold,date_of_birth_gold,race_ethnicity_gold,sexual_orientation_gold,year_of_award_gold
False,finalized,Chisinau_Moldova,1895-09-30,White,Straight,1927
False,finalized,Glasgow_Scotland,1886-02-02,White,Straight,1930
False,finalized,Chisinau_Moldova,1895-09-30,White,Straight,1931
False,finalized,Chicago_Il,1899-02-23,White,Straight,1932
False,finalized,Salt_Lake_City_Ut,1894-04-23,White,Straight,1933
False,finalized,Glasgow_Scotland,1886-02-02,White,Straight,1934
False,finalized,Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1935
False,finalized,Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1936
False,finalized,Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1937
False,finalized,Los_Angeles_Ca,1898-10-03,White,Straight,1938
False,finalized,Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1939
False,finalized,Pasadena_Ca,1883-02-23,White,Straight,1940
False,finalized,Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1941
False,finalized,Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1942
False,finalized,Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1943
False,finalized,Budapest_Hungary,1886-12-24,White,Straight,1944
False,finalized,Los_Angeles_Ca,1898-10-03,White,Straight,1945
False,finalized,New_York_City,1918-10-11,White,Gay,1962
False,finalized,Sucha_Galicia_Austria,1906-06-22,White,Straight,1946
False,finalized,Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1947
False,finalized,Istanbul_Turkey,1909-09-07,White,Straight,1948
True,golden,Nevada_Mo,1906-08-05,White,Straight,1949
False,finalized,WilkesBarre_Pa,1909-02-11,White,Straight,1950
False,finalized,WilkesBarre_Pa,1909-02-11,White,Straight,1951
False,finalized,Oakland_Ca,1904-12-18,White,Straight,1952
False,finalized,Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1953
False,finalized,Vienna_Austria,1907-04-29,White,Straight,1954
False,finalized,Istanbul_Turkey,1909-09-07,White,Straight,1955
False,finalized,Lawrence_Ks,1920-01-30,White,Straight,1956
False,finalized,Oakland_Ca,1904-12-18,White,Straight,1957
False,finalized,Croydon_Surrey_England,1908-03-25,White,Straight,1958
False,finalized,Chicago_Il,1903-02-28,White,Bisexual,1959
False,finalized,Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1960
True,golden,Sucha_Galicia_Austria,1906-06-22,White,Straight,1961
False,finalized,Winchester_In,1914-09-10,White,Straight,1961
False,finalized,Croydon_Surrey_England,1908-03-25,White,Straight,1963
False,finalized,Shipley_Yorkshire_England,1928-06-05,White,Bisexual,1964
False,finalized,New_York_City,1899-07-07,White,Gay,1965
False,finalized,Winchester_In,1914-09-10,White,Straight,1966
False,finalized,Vienna_Austria,1907-04-29,White,Straight,1967
False,finalized,Berlin_Germany,1931-11-06,White,Straight,1968
False,finalized,St_Louis_Park_Mn,1954-11-29,White,Straight,2008
False,finalized,London_England,1906-12-30,White,Straight,1969
False,finalized,London_England,1926-02-16,White,Gay,1969
False,finalized,Tokyo_Japan,1920-05-30,White,Straight,1970
False,finalized,Chicago_Il,1935-08-29,White,Straight,1972
False,finalized,Chicago_Il,1927-06-23,White,Straight,1973
False,finalized,Minneapolis_Mn,1921-12-20,White,Straight,1973
False,finalized,Detroit_Mi,1939-04-07,White,Straight,1975
False,finalized,CÌÁslav_Czechoslovakia,1932-02-18,White,Straight,1976
False,finalized,Oak_Park_Il,1935-12-21,White,Straight,1976
False,finalized,Brooklyn_Ny,1935-12-01,White,Straight,1978
True,golden,New_York_City,1939-02-03,White,Straight,1979
False,finalized,Waxahachie_Tx,1932-09-29,White,Straight,1980
False,finalized,Santa_Monica_Ca,1936-08-18,White,Straight,1980
False,finalized,Richmond_Va,1937-03-30,White,Straight,1981
False,finalized,Cambridge_England,1923-08-29,White,Straight,1982
False,finalized,North_Bergen_Nj,1940-05-09,White,Straight,1983
False,finalized,CÌÁslav_Czechoslovakia,1932-02-18,White,Straight,1985
False,finalized,Lafayette_In,1934-07-01,White,Straight,1986
False,finalized,New_York_City,1946-09-15,White,Straight,1990
False,finalized,Parma_EmiliaRomagna_Italy,1941-03-16,White,Straight,1988
False,finalized,Baltimore_Md,1942-04-06,White,Straight,1989
False,finalized,New_York_City,1946-09-15,White,Straight,1990
False,finalized,Lynwood_Ca,1955-01-18,White,Straight,1991
False,finalized,Baldwin_Ny,1944-02-22,White,Straight,1992
False,finalized,San_Francisco_Ca,1930-05-31,White,Straight,1993
False,finalized,Cincinnati_Oh,1946-12-18,White,Straight,1994
False,finalized,Chicago_Il,1952-05-14,White,Straight,1995
False,finalized,Peekskill_Ny,1956-01-03,White,Straight,1996
False,finalized,Ryde_Isle_of_Wight_England,1954-01-06,White,Straight,1997
False,finalized,Kapuskasing_Ontario_Canada,1954-08-16,White,Straight,1998
False,finalized,Cincinnati_Oh,1946-12-18,White,Straight,1999
False,finalized,Reading_Berkshire_England,1965-08-01,White,Straight,2000
False,finalized,Atlanta_Ga,1963-01-14,White,Straight,2001
False,finalized,Duncan_Ok,1954-03-01,White,Straight,2002
False,finalized,Paris_France,1933-08-18,White,Straight,2003
False,finalized,Wellington_New_Zealand,1961-10-31,White,Straight,2004
False,finalized,San_Francisco_Ca,1930-05-31,White,Straight,2005
False,finalized,Pingtung_Taiwan,1954-10-23,Asian,Straight,2006
False,finalized,Flushing_Ny,1942-11-17,White,Straight,2007
False,finalized,St_Louis_Park_Mn,1957-09-21,White,Straight,2008
True,golden,Manchester_England,1956-10-20,White,Straight,2009
False,finalized,San_Carlos_Ca,1951-11-27,White,Straight,2009
False,finalized,London_England,1972-01-01,White,Na,2011
False,finalized,Paris_France,1967-03-29,White,Straight,2012
