birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person
Chisinau_Moldova,1895-09-30,White,Straight,1927,Best_Director,Two_Arabian_Knights,Lewis_Milestone
Glasgow_Scotland,1886-02-02,White,Straight,1930,Best_Director,The_Divine_Lady,Frank_Lloyd
Chisinau_Moldova,1895-09-30,White,Straight,1931,Best_Director,All_Quiet_on_the_Western_Front,Lewis_Milestone
Chicago_Il,1899-02-23,White,Straight,1932,Best_Director,Skippy,Norman_Taurog
Salt_Lake_City_Ut,1894-04-23,White,Straight,1933,Best_Director,Bad_Girl,Frank_Borzage
Glasgow_Scotland,1886-02-02,White,Straight,1934,Best_Director,Cavalcade,Frank_Lloyd
Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1935,Best_Director,It_Happened_One_Night,Frank_Capra
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1936,Best_Director,The_Informer,John_Ford
Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1937,Best_Director,Mr_Deeds_Goes_to_Town,Frank_Capra
Los_Angeles_Ca,1898-10-03,White,Straight,1938,Best_Director,The_Awful_Truth,Leo_McCarey
Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1939,Best_Director,You_Cant_Take_It_with_You,Frank_Capra
Pasadena_Ca,1883-02-23,White,Straight,1940,Best_Director,Gone_with_the_Wind,Victor_Fleming
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1941,Best_Director,The_Grapes_of_Wrath,John_Ford
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1942,Best_Director,How_Green_Was_My_Valley,John_Ford
Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1943,Best_Director,Mrs_Miniver,William_Wyler
Budapest_Hungary,1886-12-24,White,Straight,1944,Best_Director,Casablanca,Michael_Curtiz
Los_Angeles_Ca,1898-10-03,White,Straight,1945,Best_Director,Going_My_Way,Leo_McCarey
New_York_City,1918-10-11,White,Gay,1962,Best_Director,West_Side_Story,Jerome_Robbins
Sucha_Galicia_Austria,1906-06-22,White,Straight,1946,Best_Director,The_Lost_Weekend,Billy_Wilder
