birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person,Coordinates
Chisinau_Moldova,1895-09-30,White,Straight,1927,Best_Director,Two_Arabian_Knights,Lewis_Milestone,"[47.010452, 28.86381]"
Glasgow_Scotland,1886-02-02,White,Straight,1930,Best_Director,The_Divine_Lady,Frank_Lloyd,"[55.864237, -4.251806]"
Chisinau_Moldova,1895-09-30,White,Straight,1931,Best_Director,All_Quiet_on_the_Western_Front,Lewis_Milestone,"[47.010452, 28.86381]"
Chicago_Il,1899-02-23,White,Straight,1932,Best_Director,Skippy,Norman_Taurog,"[41.878113, -87.629799]"
Salt_Lake_City_Ut,1894-04-23,White,Straight,1933,Best_Director,Bad_Girl,Frank_Borzage,"[40.760779, -111.891047]"
Glasgow_Scotland,1886-02-02,White,Straight,1934,Best_Director,Cavalcade,Frank_Lloyd,"[55.864237, -4.251806]"
Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1935,Best_Director,It_Happened_One_Night,Frank_Capra,"[37.795041, 13.258076]"
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1936,Best_Director,The_Informer,John_Ford,"[43.563484, -70.22682]"
Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1937,Best_Director,Mr_Deeds_Goes_to_Town,Frank_Capra,"[37.795041, 13.258076]"
Los_Angeles_Ca,1898-10-03,White,Straight,1938,Best_Director,The_Awful_Truth,Leo_McCarey,"[34.052235, -118.243683]"
Bisacquino_Sicily_Italy,1897-05-18,White,Straight,1939,Best_Director,You_Cant_Take_It_with_You,Frank_Capra,"[37.795041, 13.258076]"
Pasadena_Ca,1883-02-23,White,Straight,1940,Best_Director,Gone_with_the_Wind,Victor_Fleming,"[34.147785, -118.144515]"
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1941,Best_Director,The_Grapes_of_Wrath,John_Ford,"[43.563484, -70.22682]"
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1942,Best_Director,How_Green_Was_My_Valley,John_Ford,"[43.563484, -70.22682]"
Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1943,Best_Director,Mrs_Miniver,William_Wyler,"[47.750839, 7.335888]"
Budapest_Hungary,1886-12-24,White,Straight,1944,Best_Director,Casablanca,Michael_Curtiz,"[47.497913, 19.040236]"
Los_Angeles_Ca,1898-10-03,White,Straight,1945,Best_Director,Going_My_Way,Leo_McCarey,"[34.052235, -118.243683]"
New_York_City,1918-10-11,White,Gay,1962,Best_Director,West_Side_Story,Jerome_Robbins,"[40.712776, -74.005974]"
Sucha_Galicia_Austria,,White,Straight,1946,Best_Director,The_Lost_Weekend,Billy_Wilder,"[49.634785, 22.67423]"
Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1947,Best_Director,The_Best_Years_of_Our_Lives,William_Wyler,"[47.750839, 7.335888]"
Istanbul_Turkey,1909-09-07,White,Straight,1948,Best_Director,Gentlemans_Agreement,Elia_Kazan,"[41.008237, 28.97836]"
Nevada_Mo,,White,Straight,1949,Best_Director,The_Treasure_of_the_Sierra_Madre,John_Huston,"[37.839333, -94.354869]"
WilkesBarre_Pa,1909-02-11,White,Straight,1950,Best_Director,A_Letter_to_Three_Wives,Joseph_L_Mankiewicz,"[41.245914, -75.881307]"
WilkesBarre_Pa,1909-02-11,White,Straight,1951,Best_Director,All_About_Eve,Joseph_L_Mankiewicz,"[41.245914, -75.881307]"
Oakland_Ca,1904-12-18,White,Straight,1952,Best_Director,A_Place_in_the_Sun,George_Stevens,"[37.804363, -122.271111]"
Cape_Elizabeth_Me,1894-02-01,White,Bisexual,1953,Best_Director,The_Quiet_Man,John_Ford,"[43.563484, -70.22682]"
Vienna_Austria,1907-04-29,White,Straight,1954,Best_Director,From_Here_to_Eternity,Fred_Zinnemann,"[48.208354, 16.372504]"
Istanbul_Turkey,1909-09-07,White,Straight,1955,Best_Director,On_the_Waterfront,Elia_Kazan,"[41.008237, 28.97836]"
Lawrence_Ks,1920-01-30,White,Straight,1956,Best_Director,Marty,Delbert_Mann,"[38.971669, -95.23525]"
Oakland_Ca,1904-12-18,White,Straight,1957,Best_Director,Giant,George_Stevens,"[37.804363, -122.271111]"
Croydon_Surrey_England,1908-03-25,White,Straight,1958,Best_Director,The_Bridge_on_the_River_Kwai,David_Lean,"[51.376165, -0.098234]"
Chicago_Il,1903-02-28,White,Bisexual,1959,Best_Director,Gigi,Vincente_Minnelli,"[41.878113, -87.629799]"
Mulhouse_HautRhin_Alsace_France,1902-07-01,White,Straight,1960,Best_Director,BenHur,William_Wyler,"[47.750839, 7.335888]"
