movie,movie_id,genres
Two Arabian Knights,tt0018515,"Adventure, Comedy, Romance"
The Divine Lady,tt0019824,"Drama, History, Romance, War"
All Quiet on the Western Front,tt0020629,"Epic, Period Drama, Psychological Drama, Tragedy, War Epic, Drama, War"
Skippy,tt0060025,"Adventure, Drama, Family"
Bad Girl,tt0021635,"Drama, Romance"
Cavalcade,tt0023876,"Period Drama, Tragic Romance, Drama, Romance, War"
It Happened One Night,tt0025316,"Road Trip, Comedy, Romance"
The Informer,tt1833116,"Police Procedural, Prison Drama, Spy, Action, Crime, Drama, Thriller"
Mr Deeds Goes to Town,tt0027996,"Screwball Comedy, Comedy, Drama, Romance"
The Awful Truth,tt0028597,"Romantic Comedy, Screwball Comedy, Comedy, Romance"
You Cant Take It with You,tt0030993,"Screwball Comedy, Slapstick, Comedy, Drama, Romance"
Gone with the Wind,tt0031381,"Epic, Romantic Epic, Tragic Romance, War Epic, Drama, Romance, War"
The Grapes of Wrath,tt0032551,Drama
How Green Was My Valley,tt0033729,"Drama, Family"
Mrs Miniver,tt0035093,"Drama, Romance, War"
Casablanca,tt0034583,"Drama, Romance, War"
Going My Way,tt0036872,"Comedy, Drama, Music"
West Side Story,tt3581652,"Pop Musical, Crime, Drama, Musical, Romance"
The Lost Weekend,tt0037884,"Film Noir, Drama"
The Best Years of Our Lives,tt0036868,"Epic, Feel-Good Romance, Drama, Romance, War"
Gentlemans Agreement,tt0039416,"Drama, Romance"
The Treasure of the Sierra Madre,tt0040897,"Adventure, Drama, Western"
A Letter to Three Wives,tt0041587,"Comedy, Drama, Romance"
All About Eve,tt0042192,"Dark Comedy, Drama"
A Place in the Sun,tt0043924,"Tragedy, Drama, Romance"
The Quiet Man,tt0045061,"Comedy, Drama, Romance"
From Here to Eternity,tt0045793,"Drama, Romance, War"
On the Waterfront,tt0047296,"Crime, Drama, Thriller"
Marty,tt0048356,"Drama, Romance"
Giant,tt0049261,"Western Epic, Drama, Western"
The Bridge on the River Kwai,tt0050212,"Jungle Adventure, War Epic, Adventure, Drama, War"
Gigi,tt10341196,"Animal Adventure, Docudrama, Drama, Family"
BenHur,tt0052618,"Adventure Epic, Desert Adventure, Epic, Sword & Sandal, Adventure, Drama"
The Apartment,tt0053604,"Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Drama, Holiday, Romance"
West Side Story,tt3581652,"Pop Musical, Crime, Drama, Musical, Romance"
Lawrence of Arabia,tt0056172,"Adventure Epic, Desert Adventure, Docudrama, Period Drama, War Epic, Adventure, Biography, Drama, War"
Tom Jones,tt0057590,"Farce, Adventure, Comedy, History, Romance"
My Fair Lady,tt0058385,"Classic Musical, Drama, Family, Musical, Romance"
The Sound of Music,tt0059742,"Classic Musical, Biography, Drama, Family, Musical, Romance"
A Man for All Seasons,tt0060665,"Costume Drama, Period Drama, Biography, Drama, History"
The Graduate,tt0061722,"Coming-of-Age, Comedy, Drama, Romance"
No Country for Old Men,tt0477348,"Contemporary Western, Serial Killer, Crime, Drama, Thriller"
Midnight Cowboy,tt0064665,Drama
The French Connection,tt0067116,"Cop Drama, Drug Crime, Police Procedural, Action, Crime, Drama, Thriller"
Cabaret,tt0068327,"Drama, Music, Musical, Romance"
The Sting,tt0070735,"Caper, Comedy, Crime, Drama"
The Godfather Part II,tt0071562,"Epic, Gangster, Period Drama, Tragedy, Crime, Drama"
One Flew over the Cuckoos Nest,tt0073486,"Medical Drama, Prison Drama, Psychological Drama, Drama"
Rocky,tt0075148,"Boxing, Drama, Sport"
Annie Hall,tt0075686,"Comedy, Romance"
The Deer Hunter,tt0077416,"Tragedy, War Epic, Drama, War"
Kramer vs Kramer,tt0079417,Drama
Ordinary People,tt0081283,"Psychological Drama, Drama"
Reds,tt0082979,"Historical Epic, Romantic Epic, Biography, Drama, History, Romance"
Gandhi,tt0083987,"Docudrama, Epic, Period Drama, Biography, Drama, History"
Terms of Endearment,tt0086425,"Comedy, Drama"
Amadeus,tt0086879,"Costume Drama, Period Drama, Tragedy, Biography, Drama, Music"
Out of Africa,tt0089755,"Period Drama, Romantic Epic, Biography, Drama, Romance"
Platoon,tt0091763,"Drama, War"
The Last Emperor,tt0093389,"Docudrama, Historical Epic, Period Drama, Biography, Drama, History"
Rain Man,tt0095953,"Road Trip, Drama"
Born on the Fourth of July,tt0096969,"Biography, Drama, War"
Dances with Wolves,tt0099348,"Epic, Western Epic, Adventure, Drama, Western"
The Silence of the Lambs,tt0102926,"Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller"
