_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Nationality,gender
670454353,False,finalized,3,2/10/15 3:45,Chisinau_Moldova,1.0,1895-09-30 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1927,1.0,Best_Director,http://www.nndb.com/people/320/000043191/,Chisinau_Moldova,1895-09-30 00:00:00,Two_Arabian_Knights,Lewis_Milestone,White,Na,Straight,1927,United States,Male
670454354,False,finalized,3,2/10/15 2:03,Glasgow_Scotland,1.0,1886-02-02 00:00:00,1.0,White,1.0,Na,1.0,Straight,0.6842,1930,1.0,Best_Director,http://www.nndb.com/people/626/000042500/,Glasgow_Scotland,1886-02-02 00:00:00,The_Divine_Lady,Frank_Lloyd,White,Na,Straight,1930,United States,Male
670454355,False,finalized,3,2/10/15 2:05,Chisinau_Moldova,1.0,1895-09-30 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1931,0.6667,Best_Director,http://www.nndb.com/people/320/000043191/,Chisinau_Moldova,1895-09-30 00:00:00,All_Quiet_on_the_Western_Front,Lewis_Milestone,White,Na,Straight,1931,United States,Male
670454356,False,finalized,3,2/10/15 2:04,Chicago_Il,1.0,1899-02-23 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1932,1.0,Best_Director,http://www.nndb.com/people/544/000041421/,Chicago_Il,1899-02-23 00:00:00,Skippy,Norman_Taurog,White,Na,Straight,1932,United States,Male
670454357,False,finalized,3,2/10/15 1:48,Salt_Lake_City_Ut,1.0,1894-04-23 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Straight,1.0,1933,1.0,Best_Director,http://www.nndb.com/people/292/000044160/,Salt_Lake_City_Ut,1894-04-23 00:00:00,Bad_Girl,Frank_Borzage,White,Roman_Catholic,Straight,1933,United States,Male
670454358,False,finalized,3,2/10/15 3:50,Glasgow_Scotland,1.0,1886-02-02 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1934,1.0,Best_Director,http://www.nndb.com/people/626/000042500/,Glasgow_Scotland,1886-02-02 00:00:00,Cavalcade,Frank_Lloyd,White,Na,Straight,1934,United States,Male
670454359,False,finalized,3,2/10/15 2:07,Bisacquino_Sicily_Italy,1.0,1897-05-18 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Straight,1.0,1935,1.0,Best_Director,http://www.nndb.com/people/459/000032363/,Bisacquino_Sicily_Italy,1897-05-18 00:00:00,It_Happened_One_Night,Frank_Capra,White,Roman_Catholic,Straight,1935,United States,Male
670454360,False,finalized,3,2/10/15 1:46,Cape_Elizabeth_Me,1.0,1894-02-01 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Bisexual,1.0,1936,1.0,Best_Director,http://www.nndb.com/people/458/000032362/,Cape_Elizabeth_Me,1894-02-01 00:00:00,The_Informer,John_Ford,White,Roman_Catholic,Bisexual,1936,United States,Male
670454361,False,finalized,3,2/10/15 1:47,Bisacquino_Sicily_Italy,1.0,1897-05-18 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Straight,1.0,1937,1.0,Best_Director,http://www.nndb.com/people/459/000032363/,Bisacquino_Sicily_Italy,1897-05-18 00:00:00,Mr_Deeds_Goes_to_Town,Frank_Capra,White,Roman_Catholic,Straight,1937,United States,Male
670454362,False,finalized,3,2/10/15 2:05,Los_Angeles_Ca,1.0,1898-10-03 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1938,1.0,Best_Director,http://www.nndb.com/people/380/000044248/,Los_Angeles_Ca,1898-10-03 00:00:00,The_Awful_Truth,Leo_McCarey,White,Na,Straight,1938,United States,Male
670454363,False,finalized,3,2/10/15 2:04,Bisacquino_Sicily_Italy,1.0,1897-05-18 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Straight,1.0,1939,1.0,Best_Director,http://www.nndb.com/people/459/000032363/,Bisacquino_Sicily_Italy,1897-05-18 00:00:00,You_Cant_Take_It_with_You,Frank_Capra,White,Roman_Catholic,Straight,1939,United States,Male
670454364,False,finalized,3,2/10/15 2:10,Pasadena_Ca,1.0,1883-02-23 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1940,1.0,Best_Director,http://www.nndb.com/people/416/000041293/,Pasadena_Ca,1883-02-23 00:00:00,Gone_with_the_Wind,Victor_Fleming,White,Na,Straight,1940,United States,Male
670454365,False,finalized,3,2/10/15 2:12,Cape_Elizabeth_Me,1.0,1894-02-01 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Bisexual,1.0,1941,1.0,Best_Director,http://www.nndb.com/people/458/000032362/,Cape_Elizabeth_Me,1894-02-01 00:00:00,The_Grapes_of_Wrath,John_Ford,White,Roman_Catholic,Bisexual,1941,United States,Male
670454366,False,finalized,3,2/10/15 2:02,Cape_Elizabeth_Me,1.0,1894-02-01 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Bisexual,1.0,1942,1.0,Best_Director,http://www.nndb.com/people/458/000032362/,Cape_Elizabeth_Me,1894-02-01 00:00:00,How_Green_Was_My_Valley,John_Ford,White,Roman_Catholic,Bisexual,1942,United States,Male
670454367,False,finalized,3,2/10/15 3:57,Mulhouse_HautRhin_Alsace_France,1.0,1902-07-01 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1943,1.0,Best_Director,http://www.nndb.com/people/463/000032367/,Mulhouse_HautRhin_Alsace_France,1902-07-01 00:00:00,Mrs_Miniver,William_Wyler,White,Na,Straight,1943,United States,Male
670454368,False,finalized,3,2/10/15 2:02,Budapest_Hungary,1.0,1886-12-24 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1944,1.0,Best_Director,http://www.nndb.com/people/676/000032580/,Budapest_Hungary,1886-12-24 00:00:00,Casablanca,Michael_Curtiz,White,Na,Straight,1944,United States,Male
670454369,False,finalized,3,2/10/15 2:29,Los_Angeles_Ca,1.0,1898-10-03 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1945,1.0,Best_Director,http://www.nndb.com/people/380/000044248/,Los_Angeles_Ca,1898-10-03 00:00:00,Going_My_Way,Leo_McCarey,White,Na,Straight,1945,United States,Male
670454370,False,finalized,3,2/10/15 1:55,New_York_City,1.0,1918-10-11 00:00:00,1.0,White,1.0,Jewish,1.0,Gay,1.0,1962,1.0,Best_Director,http://www.nndb.com/people/281/000064089/,New_York_City,1918-10-11 00:00:00,West_Side_Story,Jerome_Robbins,White,Jewish,Gay,1962,United States,Male
670454371,False,finalized,3,2/10/15 4:02,Sucha_Galicia_Austria,0.6667,22-Jun-1906,1.0,White,1.0,Jewish,1.0,Straight,1.0,1946,1.0,Best_Director,http://www.nndb.com/people/982/000024910/,Sucha_Galicia_Austria,22-Jun-1906,The_Lost_Weekend,Billy_Wilder,White,Jewish,Straight,1946,United States,Male
670454372,False,finalized,3,2/10/15 2:12,Mulhouse_HautRhin_Alsace_France,1.0,1902-07-01 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best_Director,http://www.nndb.com/people/463/000032367/,Mulhouse_HautRhin_Alsace_France,1902-07-01 00:00:00,The_Best_Years_of_Our_Lives,William_Wyler,White,Na,Straight,1947,United States,Male
670454373,False,finalized,3,2/10/15 1:46,Istanbul_Turkey,1.0,1909-09-07 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1948,1.0,Best_Director,http://www.nndb.com/people/537/000026459/,Istanbul_Turkey,1909-09-07 00:00:00,Gentlemans_Agreement,Elia_Kazan,White,Na,Straight,1948,United States,Male
670454374,True,golden,82,,Nevada_Mo,1.0,5-Aug-1906,1.0,White,1.0,Na,1.0,Straight,1.0,1949,1.0,Best_Director,http://www.nndb.com/people/704/000024632/,Nevada_Mo,5-Aug-1906,The_Treasure_of_the_Sierra_Madre,John_Huston,White,Na,Straight,1949,United States,Male
670454375,False,finalized,3,2/10/15 3:50,WilkesBarre_Pa,1.0,1909-02-11 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1950,1.0,Best_Director,http://www.nndb.com/people/723/000032627/,WilkesBarre_Pa,1909-02-11 00:00:00,A_Letter_to_Three_Wives,Joseph_L_Mankiewicz,White,Jewish,Straight,1950,United States,Male
670454376,False,finalized,3,2/10/15 1:51,WilkesBarre_Pa,1.0,1909-02-11 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1951,1.0,Best_Director,http://www.nndb.com/people/723/000032627/,WilkesBarre_Pa,1909-02-11 00:00:00,All_About_Eve,Joseph_L_Mankiewicz,White,Jewish,Straight,1951,United States,Male
670454377,False,finalized,3,2/10/15 2:15,Oakland_Ca,1.0,1904-12-18 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1952,1.0,Best_Director,http://www.nndb.com/people/382/000044250/,Oakland_Ca,1904-12-18 00:00:00,A_Place_in_the_Sun,George_Stevens,White,Na,Straight,1952,United States,Male
670454378,False,finalized,3,2/10/15 2:15,Cape_Elizabeth_Me,1.0,1894-02-01 00:00:00,1.0,White,1.0,Roman_Catholic,1.0,Bisexual,1.0,1953,1.0,Best_Director,http://www.nndb.com/people/458/000032362/,Cape_Elizabeth_Me,1894-02-01 00:00:00,The_Quiet_Man,John_Ford,White,Roman_Catholic,Bisexual,1953,United States,Male
670454379,False,finalized,3,2/10/15 1:57,Vienna_Austria,1.0,1907-04-29 00:00:00,1.0,White,1.0,Jewish,1.0,Straight,1.0,1954,1.0,Best_Director,http://www.nndb.com/people/538/000032442/,Vienna_Austria,1907-04-29 00:00:00,From_Here_to_Eternity,Fred_Zinnemann,White,Jewish,Straight,1954,United States,Male
670454380,False,finalized,3,2/10/15 3:50,Istanbul_Turkey,1.0,1909-09-07 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1955,1.0,Best_Director,http://www.nndb.com/people/537/000026459/,Istanbul_Turkey,1909-09-07 00:00:00,On_the_Waterfront,Elia_Kazan,White,Na,Straight,1955,United States,Male
670454381,False,finalized,3,2/10/15 3:53,Lawrence_Ks,1.0,1920-01-30 00:00:00,1.0,White,1.0,Presbyterian,1.0,Straight,1.0,1956,1.0,Best_Director,http://www.nndb.com/people/384/000044252/,Lawrence_Ks,1920-01-30 00:00:00,Marty,Delbert_Mann,White,Presbyterian,Straight,1956,United States,Male
670454382,False,finalized,3,2/10/15 3:50,Oakland_Ca,1.0,1904-12-18 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1957,1.0,Best_Director,http://www.nndb.com/people/382/000044250/,Oakland_Ca,1904-12-18 00:00:00,Giant,George_Stevens,White,Na,Straight,1957,United States,Male
670454383,False,finalized,3,2/10/15 2:07,Croydon_Surrey_England,0.6667,1908-03-25 00:00:00,1.0,White,1.0,Na,1.0,Straight,0.6667,1958,1.0,Best_Director,http://www.nndb.com/people/462/000032366/,Croydon_Surrey_England,1908-03-25 00:00:00,The_Bridge_on_the_River_Kwai,David_Lean,White,Na,Straight,1958,England,Male
670454384,False,finalized,3,2/10/15 1:52,Chicago_Il,1.0,1903-02-28 00:00:00,1.0,White,1.0,Na,1.0,Bisexual,1.0,1959,1.0,Best_Director,http://www.nndb.com/people/825/000032729/,Chicago_Il,1903-02-28 00:00:00,Gigi,Vincente_Minnelli,White,Na,Bisexual,1959,United States,Male
670454385,False,finalized,3,2/10/15 1:55,Mulhouse_HautRhin_Alsace_France,1.0,1902-07-01 00:00:00,1.0,White,1.0,Na,1.0,Straight,1.0,1960,1.0,Best_Director,http://www.nndb.com/people/463/000032367/,Mulhouse_HautRhin_Alsace_France,1902-07-01 00:00:00,BenHur,William_Wyler,White,Na,Straight,1960,United States,Male
